Property State,Property County,Property City,Property Zip,Originating Mortgagee Sponsor Originator,Originating Mortgagee Number,Sponsor Name,Sponsor_Number,Sponsor Originator,Current Servicer ID,Previous Servicer,Hecm Type,Rate Type,Interest Rate,Initial Principal Limit,Maximum Claim Amount,Endorsement Year,Endorsement Month
AL,GENEVA,GENEVA,36340,TOTAL MEDIA MANAGEMENT LLC,31230,Not Available,Not Available,Not Available,1142500001,3123000001,Hecm Traditional,Adjustable,3.08,28080,65000,2021,11
AL,HOUSTON,DOTHAN,36301,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,Not Available,Not Available,Not Available,1142500001,0,Hecm Traditional,Adjustable,2.61,72660,140000,2021,11
AL,MADISON,HUNTSVILLE,35801,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118000273,Hecm Traditional,Fixed,3.31,131100,230000,2021,11
AL,MADISON,HUNTSVILLE,35803,"SOUTH RIVER MORTGAGE, LLC",Not Available,OPEN MORTGAGE LLC,21548,"SOUTH RIVER MORTGAGE, LLC",1142500001,2124900009,Hecm Traditional,Adjustable,1.86,176550,275000,2021,11
AL,MOBILE,MOBILE,36608,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.89,116820,220000,2021,11
AL,MOBILE,MOBILE,36609,FINANCE OF AMERICA REVERSE LLC,21249,Not Available,Not Available,Not Available,1142500001,2124900009,Hecm Traditional,Adjustable,2.22,187520,293000,2021,11
AL,MOBILE,MOBILE,36695,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.35,132960,240000,2021,11
AL,MORGAN,DECATUR,35603,"MAIN ST. MORTGAGE, INC.",Not Available,PHH MORTGAGE CORPORATION,30275,"MAIN ST. MORTGAGE, INC.",3027509990,3027510460,Hecm Traditional,Adjustable,1.61,216972,369000,2021,11
AL,SHELBY,BIRMINGHAM,35242,"SALTER ENTERPRISES, INC.",Not Available,MID AMERICA MORTGAGE INC.,38132,"SALTER ENTERPRISES, INC.",3027509990,0,Hecm for Refinance,Adjustable,1.86,247435,355000,2021,11
AL,SHELBY,BIRMINGHAM,35242,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,1.89,293500,500000,2021,11
AL,SHELBY,STERRETT,35147,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.66,78155,145000,2021,11
AL,TUSCALOOSA,NORTHPORT,35475,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,Not Available,Not Available,Not Available,3121500003,0,Hecm Traditional,Adjustable,2.08,122580,227000,2021,11
AR,BENTON,BELLA VISTA,72714,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.64,132055,245000,2021,11
AR,BENTON,BELLA VISTA,72715,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,1142500001,Hecm Traditional,Adjustable,2.68,192510,310000,2021,11
AR,BENTON,GENTRY,72734,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.29,146610,270000,2021,11
AR,BENTON,PEA RIDGE,72751,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.51,144300,260000,2021,11
AR,BENTON,ROGERS,72756,HORIZON COMMUNITY BANK,Not Available,LONGBRIDGE FINANCIAL LLC,31169,HORIZON COMMUNITY BANK,1142500001,3116900000,Hecm Traditional,Adjustable,1.945,146611,270500,2021,11
AR,BENTON,ROGERS,72756,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,3.05,107947.5,194500,2021,11
AR,BENTON,ROGERS,72756,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.45,195000,300000,2021,11
AR,BENTON,ROGERS,72756,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510460,Hecm Traditional,Adjustable,1.86,166257,273000,2021,11
AR,BENTON,ROGERS,72758,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.78,111000,200000,2021,11
AR,BENTON,ROGERS,72758,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510460,Hecm for Refinance,Adjustable,1.625,483556.5,822375,2021,11
AR,CRAIGHEAD,JONESBORO,72404,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,3.53,114520.5,249500,2021,11
AR,GARLAND,HOT SPRINGS VILLA,71909,LONGBRIDGE FINANCIAL LLC,31169,Not Available,Not Available,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,1.65,133515,215000,2021,11
AR,LEE,MARIANNA,72360,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,1142500001,Hecm Traditional,Adjustable,2.76,40375,85000,2021,11
AR,SALINE,HOT SPRINGS VILLA,71909,BANK OF ENGLAND,23100,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm for Refinance,Adjustable,2.33,95550,175000,2021,11
AR,SALINE,LITTLE ROCK,72210,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,79507,FINANCE OF AMERICA REVERSE LLC,21249,Not Available,1142500001,2124900009,Hecm for Purchase,Adjustable,3.08,220000,440000,2021,11
AR,WASHINGTON,LINCOLN,72744,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,2282300018,2282300003,Hecm Traditional,Adjustable,3.23,76960,160000,2021,11
AR,WASHINGTON,SPRINGDALE,72762,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.6,185575,325000,2021,11
AZ,COCHISE,BENSON,85602,V.I.P. MORTGAGE INC.,25638,Not Available,Not Available,Not Available,3027509990,2563800009,Hecm Traditional,Adjustable,2.465,305664,512000,2021,11
AZ,COCONINO,FLAGSTAFF,86001,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510497,Hecm for Refinance,Adjustable,1.89,231045,365000,2021,11
AZ,COCONINO,FLAGSTAFF,86004,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,1.57,495069.75,822375,2021,11
AZ,COCONINO,FLAGSTAFF,86004,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.03,406624,776000,2021,11
AZ,COCONINO,FLAGSTAFF,86004,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510497,Hecm for Refinance,Adjustable,1.715,341441,557000,2021,11
AZ,COCONINO,FLAGSTAFF,86005,HIGH TECH LENDING INC,24969,Not Available,Not Available,Not Available,1142500001,2496900000,Hecm Traditional,Adjustable,2.59,185850,350000,2021,11
AZ,COCONINO,MUNDS PARK,86017,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.35,194185,355000,2021,11
AZ,GILA,PAYSON,85541,"ENNKAR, INC.",Not Available,LONGBRIDGE FINANCIAL LLC,31169,"ENNKAR, INC.",1142500001,3116900000,Hecm Traditional,Adjustable,2.58,194480,374000,2021,11
AZ,GILA,STRAWBERRY,85544,FINANCE OF AMERICA REVERSE LLC,21249,Not Available,Not Available,Not Available,1142500001,2124900009,Hecm Traditional,Adjustable,1.81,155366,262000,2021,11
AZ,GRAHAM,THATCHER,85552,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,1142500001,219309999,Hecm Traditional,Adjustable,1.5,115839,183000,2021,11
AZ,MARICOPA,ANTHEM,85086,"ALL REVERSE MORTGAGE, INC.",26031,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,1.695,279360,485000,2021,11
AZ,MARICOPA,ANTHEM,85086,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,2282300018,2282300003,Hecm Traditional,Adjustable,2.31,341900,650000,2021,11
AZ,MARICOPA,ANTHEM,85086,LONGBRIDGE FINANCIAL LLC,31169,Not Available,Not Available,Not Available,1142500001,3116900000,Hecm for Refinance,Adjustable,1.88,301185,485000,2021,11
AZ,MARICOPA,ANTHEM,85086,PARAMOUNT RESIDENTIAL MORTGAGE GROUP INC,22944,FINANCE OF AMERICA REVERSE LLC,21249,Not Available,1142500001,2124900009,Hecm for Refinance,Adjustable,2.42,208125,375000,2021,11
AZ,MARICOPA,ANTHEM,85086,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118000273,Hecm for Refinance,Adjustable,1.735,321057,517000,2021,11
AZ,MARICOPA,AVONDALE,85323,"FIRST AMERICAN HOME LOANS, INC",Not Available,PHH MORTGAGE CORPORATION,30275,"FIRST AMERICAN HOME LOANS, INC",3027509990,3027510460,Hecm Traditional,Adjustable,2.735,169175,335000,2021,11
AZ,MARICOPA,AVONDALE,85323,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510460,Hecm for Refinance,Adjustable,1.58,142835,245000,2021,11
AZ,MARICOPA,BUCKEYE,85326,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510460,Hecm for Refinance,Adjustable,1.965,237200,400000,2021,11
AZ,MARICOPA,BUCKEYE,85396,"ENNKAR, INC.",Not Available,FINANCE OF AMERICA REVERSE LLC,21249,"ENNKAR, INC.",1142500001,2124900009,Hecm for Refinance,Adjustable,2.06,222020,340000,2021,11
AZ,MARICOPA,BUCKEYE,85396,"PULTE MORTGAGE, LLC",Not Available,REVERSE MORTGAGE FUNDING LLC,31180,"PULTE MORTGAGE, LLC",1142500001,3118000005,Hecm for Purchase,Adjustable,1.875,243159.93,437338,2021,11
AZ,MARICOPA,BUCKEYE,85396,"PULTE MORTGAGE, LLC",Not Available,REVERSE MORTGAGE FUNDING LLC,31180,"PULTE MORTGAGE, LLC",1142500001,3118000005,Hecm for Purchase,Adjustable,2,224381.54,384874,2021,11
AZ,MARICOPA,BUCKEYE,85396,"ALL REVERSE MORTGAGE, INC.",26031,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm for Refinance,Adjustable,1.58,250690,430000,2021,11
AZ,MARICOPA,BUCKEYE,85396,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,Not Available,Not Available,Not Available,1142500001,0,Hecm for Refinance,Adjustable,3.11,194805,405000,2021,11
AZ,MARICOPA,BUCKEYE,85396,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118001676,Hecm for Refinance,Fixed,3.18,322524,558000,2021,11
AZ,MARICOPA,BUCKEYE,85396,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,1142500001,219309999,Hecm Traditional,Fixed,3.93,170690,338000,2021,11
AZ,MARICOPA,CAVE CREEK,85331,HOMEOWNERS FINANCIAL GROUP USA LLC,21580,PHH MORTGAGE CORPORATION,30275,Not Available,3027509990,2158000000,Hecm Traditional,Fixed,3.31,328200,600000,2021,11
AZ,MARICOPA,CAVE CREEK,85331,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510460,Hecm for Refinance,Adjustable,1.36,334080,580000,2021,11
AZ,MARICOPA,CAVE CREEK,85331,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,1142500001,219309999,Hecm for Refinance,Adjustable,1.88,254016,432000,2021,11
AZ,MARICOPA,CHANDLER,85225,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.22,175266,321000,2021,11
AZ,MARICOPA,CHANDLER,85225,TRADITIONAL MORTGAGE ACCEPTANCE CORPORAT,31167,Not Available,Not Available,Not Available,1142500001,3116700009,Hecm Traditional,Fixed,3.18,348128,506000,2021,11
AZ,MARICOPA,CHANDLER,85226,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510460,Hecm Traditional,Adjustable,1.86,261800,440000,2021,11
AZ,MARICOPA,CHANDLER,85226,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118001285,Hecm for Refinance,Adjustable,2.14,375050,650000,2021,11
AZ,MARICOPA,CHANDLER,85248,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118000273,Hecm for Refinance,Adjustable,1.83,411600,700000,2021,11
AZ,MARICOPA,CHANDLER,85249,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.65,209330,346000,2021,11
AZ,MARICOPA,CHANDLER,85249,BAY EQUITY LLC,26714,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm for Purchase,Adjustable,2.32,375585,735000,2021,11
AZ,MARICOPA,CHANDLER,85249,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118001863,Hecm for Refinance,Adjustable,2.485,219350,410000,2021,11
AZ,MARICOPA,EL MIRAGE,85335,"AFFINITY MORTGAGE, INC.",Not Available,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,"AFFINITY MORTGAGE, INC.",3027509990,0,Hecm Traditional,Adjustable,2.235,205412,356000,2021,11
AZ,MARICOPA,FOUNTAIN HILLS,85268,"ENNKAR, INC.",Not Available,FINANCE OF AMERICA REVERSE LLC,21249,"ENNKAR, INC.",1142500001,2124900009,Hecm for Refinance,Adjustable,2.32,308672,448000,2021,11
AZ,MARICOPA,FOUNTAIN HILLS,85268,FINANCE OF AMERICA REVERSE LLC,21249,Not Available,Not Available,Not Available,1142500001,1142500001,Hecm for Refinance,Fixed,3.06,478590,795000,2021,11
AZ,MARICOPA,FOUNTAIN HILLS,85268,LONGBRIDGE FINANCIAL LLC,31169,Not Available,Not Available,Not Available,1142500001,3116900000,Hecm for Refinance,Adjustable,2.28,486023.63,822375,2021,11
AZ,MARICOPA,FOUNTAIN HILLS,85268,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,1142500001,219309999,Hecm for Refinance,Adjustable,1.9,542767.5,822375,2021,11
AZ,MARICOPA,GILBERT,85233,"SOUTH RIVER MORTGAGE, LLC",Not Available,AMERICAN ADVISORS GROUP,22823,"SOUTH RIVER MORTGAGE, LLC",1142500001,2282300018,Hecm for Refinance,Adjustable,2.715,317190,545000,2021,11
AZ,MARICOPA,GILBERT,85234,LONGBRIDGE FINANCIAL LLC,31169,Not Available,Not Available,Not Available,1142500001,3116900000,Hecm for Refinance,Adjustable,1.63,241200,450000,2021,11
AZ,MARICOPA,GILBERT,85234,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118001285,Hecm for Refinance,Adjustable,1.93,373325,545000,2021,11
AZ,MARICOPA,GILBERT,85296,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.92,249195,449000,2021,11
AZ,MARICOPA,GILBERT,85296,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,1142500001,219309999,Hecm for Refinance,Adjustable,1.92,334341,549000,2021,11
AZ,MARICOPA,GILBERT,85297,BAY EQUITY LLC,26714,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,2.08,284316,516000,2021,11
AZ,MARICOPA,GILBERT,85298,"ALL REVERSE MORTGAGE, INC.",26031,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,1.695,350865,565000,2021,11
AZ,MARICOPA,GILBERT,85298,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.01,399064,664000,2021,11
AZ,MARICOPA,GILBERT,85298,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118000273,Hecm for Refinance,Fixed,3.18,473688,822375,2021,11
AZ,MARICOPA,GLENDALE,85302,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.01,188297.5,345500,2021,11
AZ,MARICOPA,GLENDALE,85302,LONGBRIDGE FINANCIAL LLC,31169,Not Available,Not Available,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,1.54,204752,382000,2021,11
AZ,MARICOPA,GLENDALE,85302,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510460,Hecm for Refinance,Adjustable,1.84,216445,365000,2021,11
AZ,MARICOPA,GLENDALE,85304,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.35,262440,405000,2021,11
AZ,MARICOPA,GLENDALE,85304,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,Not Available,Not Available,Not Available,1142500001,0,Hecm for Refinance,Adjustable,2.61,220580,410000,2021,11
AZ,MARICOPA,GLENDALE,85306,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,79507,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,2.58,198768,404000,2021,11
AZ,MARICOPA,GLENDALE,85307,LOANATIK LLC,Not Available,LONGBRIDGE FINANCIAL LLC,31169,LOANATIK LLC,1142500001,3116900000,Hecm for Refinance,Adjustable,2.32,198332,358000,2021,11
AZ,MARICOPA,GLENDALE,85308,GUARANTEED RATE INC,Not Available,MID AMERICA MORTGAGE INC.,38132,GUARANTEED RATE INC,1142500001,3813210282,Hecm Traditional,Adjustable,1.86,354296,661000,2021,11
AZ,MARICOPA,GLENDALE,85308,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,1.91,258825,435000,2021,11
AZ,MARICOPA,GLENDALE,85308,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,79507,FINANCE OF AMERICA REVERSE LLC,21249,Not Available,1142500001,2124900009,Hecm Traditional,Adjustable,1.955,498359.25,822375,2021,11
AZ,MARICOPA,GLENDALE,85308,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,79507,FINANCE OF AMERICA REVERSE LLC,21249,Not Available,1142500001,2124900009,Hecm for Refinance,Adjustable,2.07,290515,485000,2021,11
AZ,MARICOPA,GLENDALE,85308,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,3027509990,219309999,Hecm Traditional,Adjustable,2.12,374508,618000,2021,11
AZ,MARICOPA,GOODYEAR,85338,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.64,210000,375000,2021,11
AZ,MARICOPA,GOODYEAR,85338,FINANCE OF AMERICA REVERSE LLC,21249,Not Available,Not Available,Not Available,1142500001,2124900009,Hecm for Refinance,Adjustable,2.71,181760,355000,2021,11
AZ,MARICOPA,GOODYEAR,85338,HIGH TECH LENDING INC,24969,Not Available,Not Available,Not Available,3027509990,2496900000,Hecm for Refinance,Adjustable,1.965,185460,330000,2021,11
AZ,MARICOPA,GOODYEAR,85338,OPEN MORTGAGE LLC,21548,Not Available,Not Available,Not Available,1142500001,2154800002,Hecm for Refinance,Adjustable,1.705,357000,600000,2021,11
AZ,MARICOPA,GOODYEAR,85395,MALIBU FUNDING,Not Available,AMERICAN ADVISORS GROUP,22823,MALIBU FUNDING,1142500001,2282300018,Hecm for Refinance,Adjustable,2.195,325960,580000,2021,11
AZ,MARICOPA,GOODYEAR,85395,"ALL REVERSE MORTGAGE, INC.",26031,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm for Refinance,Adjustable,1.705,301950,550000,2021,11
AZ,MARICOPA,GOODYEAR,85395,BROKER SOLUTIONS INC,21221,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,2.07,369600,700000,2021,11
AZ,MARICOPA,GOODYEAR,85395,MORIA DEVELOPMENT INC,17468,PHH MORTGAGE CORPORATION,30275,Not Available,3027509990,1746800076,Hecm for Refinance,Adjustable,1.86,445727.25,822375,2021,11
AZ,MARICOPA,GOODYEAR,85395,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,Not Available,Not Available,Not Available,3027509990,0,Hecm Traditional,Adjustable,1.91,267750,450000,2021,11
AZ,MARICOPA,MESA,85201,"ALL REVERSE MORTGAGE, INC.",26031,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,1.695,187600,350000,2021,11
AZ,MARICOPA,MESA,85201,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,Not Available,Not Available,Not Available,3027509990,0,Hecm Traditional,Adjustable,2.485,147125,275000,2021,11
AZ,MARICOPA,MESA,85202,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.4,119574,219000,2021,11
AZ,MARICOPA,MESA,85202,LONGBRIDGE FINANCIAL LLC,31169,Not Available,Not Available,Not Available,1142500001,3116900000,Hecm for Refinance,Adjustable,2.1,215600,385000,2021,11
AZ,MARICOPA,MESA,85202,REVERSE MORTGAGE FUNDING LLC,31180,Not Available,Not Available,Not Available,1142500001,3118000273,Hecm for Refinance,Adjustable,2.11,207015,373000,2021,11
AZ,MARICOPA,MESA,85203,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,79507,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,2.58,299500,500000,2021,11
AZ,MARICOPA,MESA,85204,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,1142500001,219309999,Hecm for Refinance,Adjustable,1.85,251600,400000,2021,11
AZ,MARICOPA,MESA,85205,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,3027509990,219309999,Hecm Traditional,Adjustable,2.06,212100,303000,2021,11
AZ,MARICOPA,MESA,85205,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,1142500001,219309999,Hecm Traditional,Adjustable,2.04,207375,375000,2021,11
AZ,MARICOPA,MESA,85206,BARRETT FINANCIAL GROUP LLC,Not Available,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,BARRETT FINANCIAL GROUP LLC,3121500003,0,Hecm for Refinance,Adjustable,2.485,244392,408000,2021,11
AZ,MARICOPA,MESA,85206,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.7,149760,260000,2021,11
AZ,MARICOPA,MESA,85206,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.45,161040,305000,2021,11
AZ,MARICOPA,MESA,85206,PHH MORTGAGE CORPORATION,30275,Not Available,Not Available,Not Available,3027509990,3027510497,Hecm Traditional,Adjustable,1.61,192510,310000,2021,11
AZ,MARICOPA,MESA,85206,SUN AMERICAN MORTGAGE CO,2193,Not Available,Not Available,Not Available,1142500001,219309999,Hecm for Refinance,Adjustable,1.59,251488,464000,2021,11
AZ,MARICOPA,MESA,85207,"ENNKAR, INC.",Not Available,FINANCE OF AMERICA REVERSE LLC,21249,"ENNKAR, INC.",1142500001,2124900009,Hecm for Refinance,Adjustable,2.445,312000,500000,2021,11
AZ,MARICOPA,MESA,85207,"NEXA MORTGAGE, LLC",Not Available,PHH MORTGAGE CORPORATION,30275,"NEXA MORTGAGE, LLC",3027509990,3027510460,Hecm for Refinance,Adjustable,2.11,321550,590000,2021,11
AZ,MARICOPA,MESA,85207,LONGBRIDGE FINANCIAL LLC,31169,Not Available,Not Available,Not Available,1142500001,3116900000,Hecm for Refinance,Adjustable,1.49,517273.88,822375,2021,11
AZ,MARICOPA,MESA,85207,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,Not Available,Not Available,Not Available,1142500001,0,Hecm for Purchase,Fixed,3.81,358500,717000,2021,11
AZ,MARICOPA,MESA,85208,"CAPITAL PACIFIC MORTGAGE, INC.",Not Available,FINANCE OF AMERICA REVERSE LLC,21249,"CAPITAL PACIFIC MORTGAGE, INC.",1142500001,2124900009,Hecm for Refinance,Adjustable,2.33,181125,315000,2021,11
AZ,MARICOPA,MESA,85208,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,79507,LONGBRIDGE FINANCIAL LLC,31169,Not Available,1142500001,3116900000,Hecm Traditional,Adjustable,2.58,140304,237000,2021,11
